Date,Open,High,Low,Close,Volume
13-Apr-16,6.68,6.90,6.68,6.87,325912
12-Apr-16,6.72,6.88,6.65,6.74,365533
11-Apr-16,6.69,6.89,6.65,6.74,711736
8-Apr-16,6.90,6.98,6.66,6.75,994656
7-Apr-16,6.97,7.18,6.63,6.78,833868
6-Apr-16,6.60,7.00,6.56,6.96,818676
5-Apr-16,6.30,6.60,6.19,6.57,881129
4-Apr-16,6.47,6.53,6.28,6.30,815711
1-Apr-16,6.37,6.53,6.29,6.44,546660
31-Mar-16,6.48,6.54,6.25,6.48,702360
30-Mar-16,6.42,6.60,6.42,6.47,871978
29-Mar-16,6.41,6.55,6.24,6.40,838471
28-Mar-16,6.31,6.51,6.21,6.47,717794
24-Mar-16,6.13,6.33,6.00,6.24,828301
23-Mar-16,6.51,6.59,6.18,6.36,1039277
22-Mar-16,6.73,6.77,6.50,6.57,729342
21-Mar-16,6.89,6.89,6.54,6.72,647456
18-Mar-16,6.99,7.08,6.62,6.69,3077419
17-Mar-16,6.65,6.95,6.62,6.90,603778
16-Mar-16,6.23,6.66,6.21,6.63,581541
15-Mar-16,6.26,6.46,6.20,6.31,742165
14-Mar-16,6.38,6.79,6.15,6.36,1475124
11-Mar-16,6.16,6.56,6.01,6.36,3282725
10-Mar-16,6.87,7.24,6.70,7.15,1534302
9-Mar-16,6.74,6.87,6.25,6.65,974405
8-Mar-16,6.66,6.78,6.53,6.68,636313
7-Mar-16,6.22,6.84,6.20,6.60,1491121
4-Mar-16,6.50,6.75,6.12,6.21,1447332
3-Mar-16,6.04,6.60,6.00,6.40,1337896
2-Mar-16,5.49,6.60,5.36,6.10,1693466
1-Mar-16,5.67,5.85,5.13,5.47,1058090
29-Feb-16,5.59,5.83,5.50,5.62,671154
26-Feb-16,5.37,5.65,5.33,5.51,500207
25-Feb-16,5.08,5.47,5.08,5.30,463071
24-Feb-16,5.09,5.26,4.90,5.06,643598
23-Feb-16,5.08,5.27,4.97,5.16,693092
22-Feb-16,5.50,5.69,5.03,5.06,627353
19-Feb-16,5.57,5.72,5.22,5.41,954102
18-Feb-16,5.45,5.94,5.24,5.63,1167409
17-Feb-16,5.04,5.97,5.02,5.33,1616812
16-Feb-16,5.06,5.72,4.86,4.96,1482483
12-Feb-16,5.31,5.52,5.00,5.04,1301956
11-Feb-16,5.60,5.82,5.00,5.08,1418339
10-Feb-16,6.38,6.79,5.92,6.07,2068330
9-Feb-16,7.51,7.58,6.87,7.20,634205
8-Feb-16,7.87,7.94,7.37,7.60,537465
5-Feb-16,8.05,8.14,7.77,7.96,597984
4-Feb-16,8.20,8.30,7.82,8.05,519986
3-Feb-16,8.44,8.57,7.83,8.10,435210
2-Feb-16,8.83,8.83,8.16,8.34,534029
1-Feb-16,9.62,9.62,8.63,8.94,776775
29-Jan-16,10.15,10.17,9.40,9.52,855930
28-Jan-16,8.43,10.19,8.43,10.05,1066336
27-Jan-16,8.65,8.73,8.22,8.34,579395
26-Jan-16,8.48,9.08,8.20,8.73,712939
25-Jan-16,8.78,8.85,8.14,8.41,600027
22-Jan-16,9.37,9.70,8.53,8.79,1037106
21-Jan-16,8.62,9.07,8.46,8.97,1195835
20-Jan-16,7.25,9.20,6.94,8.54,1686049
19-Jan-16,7.83,7.89,7.30,7.40,743528
15-Jan-16,7.75,7.90,7.26,7.75,903070
14-Jan-16,8.08,8.55,7.78,8.00,1156418
13-Jan-16,8.60,8.76,8.03,8.25,795522
12-Jan-16,9.35,9.50,8.40,8.67,598572
11-Jan-16,9.65,9.70,9.08,9.31,577679
8-Jan-16,9.35,9.95,9.25,9.75,552879
7-Jan-16,9.80,9.97,9.16,9.21,1694688
6-Jan-16,9.27,10.38,9.08,10.20,3534128
5-Jan-16,10.88,11.00,9.42,9.61,1947617
4-Jan-16,11.27,11.49,11.08,11.21,576833
31-Dec-15,11.76,11.95,11.64,11.77,319142
30-Dec-15,11.65,12.07,11.45,11.72,317088
29-Dec-15,11.79,12.05,11.07,11.70,626832
28-Dec-15,12.11,12.38,11.60,11.67,637866
24-Dec-15,11.69,12.47,11.60,12.19,385043
23-Dec-15,11.95,12.36,11.55,11.88,1104497
22-Dec-15,13.45,13.65,11.41,11.60,2506967
21-Dec-15,14.15,14.95,13.13,13.40,3151286
18-Dec-15,12.45,13.95,11.95,13.74,3045263
17-Dec-15,12.85,13.30,11.79,12.71,3608198
16-Dec-15,11.17,12.17,10.89,11.63,3501183
15-Dec-15,9.26,11.29,9.16,9.49,2054183
14-Dec-15,7.95,9.38,7.83,9.10,940806
11-Dec-15,7.46,8.02,7.46,7.86,450862
10-Dec-15,7.60,7.83,7.56,7.57,364784
9-Dec-15,7.79,8.04,7.55,7.71,333586
8-Dec-15,8.11,8.11,7.62,7.77,388905
7-Dec-15,7.79,8.37,7.74,7.91,439769
4-Dec-15,7.95,8.04,7.66,7.85,436077
3-Dec-15,7.52,8.35,7.52,7.95,1042524
2-Dec-15,7.05,7.46,6.91,7.39,620936
1-Dec-15,6.70,7.14,6.53,7.05,351586
30-Nov-15,7.23,7.28,6.61,6.65,548345
27-Nov-15,6.81,7.41,6.81,7.22,445734
25-Nov-15,6.70,6.84,6.60,6.75,476005
24-Nov-15,6.59,6.82,6.59,6.74,476357
23-Nov-15,6.62,6.96,6.56,6.60,384623
20-Nov-15,6.59,6.74,6.51,6.67,366586
